test_name, which_one, object_file_size
Gcd_lh, Module_lumberhack_only_expanded_, 16864
Gcd_lh, Module_original_________________, 15072
Integer_lh, Module_lumberhack_______________, 39280
Integer_lh, Module_lumberhack_float_out_____, 39280
Integer_lh, Module_lumberhack_only_expanded_, 39120
Integer_lh, Module_original_________________, 29248
Knights_lh, Module_lumberhack_______________, 235672
Knights_lh, Module_lumberhack_float_out_____, 231952
Knights_lh, Module_lumberhack_only_expanded_, 147808
Knights_lh, Module_original_________________, 104616
LCSS_lh, Module_lumberhack_______________, 45368
LCSS_lh, Module_lumberhack_float_out_____, 41416
LCSS_lh, Module_lumberhack_only_expanded_, 40360
LCSS_lh, Module_original_________________, 23040
Lambda_lh, Module_lumberhack_______________, 98320
Lambda_lh, Module_lumberhack_float_out_____, 98320
Lambda_lh, Module_lumberhack_only_expanded_, 91232
Lambda_lh, Module_original_________________, 64840
LastPiece_lh, Module_lumberhack_______________, 1356168
LastPiece_lh, Module_lumberhack_float_out_____, 1353056
LastPiece_lh, Module_lumberhack_only_expanded_, 229408
LastPiece_lh, Module_original_________________, 166104
Life_lh, Module_lumberhack_______________, 186400
Life_lh, Module_lumberhack_float_out_____, 182600
Life_lh, Module_lumberhack_only_expanded_, 93176
Life_lh, Module_original_________________, 68352
Mandel2_lh, Module_lumberhack_______________, 26792
Mandel2_lh, Module_lumberhack_float_out_____, 26808
Mandel2_lh, Module_lumberhack_only_expanded_, 29080
Mandel2_lh, Module_original_________________, 23048
Mandel_lh, Module_lumberhack_______________, 25704
Mandel_lh, Module_lumberhack_float_out_____, 26368
Mandel_lh, Module_lumberhack_only_expanded_, 23664
Mandel_lh, Module_original_________________, 22680
Mate_lh, Module_lumberhack_______________, 347080
Mate_lh, Module_lumberhack_float_out_____, 343624
Mate_lh, Module_lumberhack_only_expanded_, 293648
Mate_lh, Module_original_________________, 205992
Minimax_lh, Module_lumberhack_______________, 218696
Minimax_lh, Module_lumberhack_float_out_____, 209640
Minimax_lh, Module_lumberhack_only_expanded_, 100024
Minimax_lh, Module_original_________________, 66656
Para_lh, Module_lumberhack_______________, 87728
Para_lh, Module_lumberhack_float_out_____, 84992
Para_lh, Module_lumberhack_only_expanded_, 82080
Para_lh, Module_original_________________, 53488
Power_lh, Module_lumberhack_______________, 213648
Power_lh, Module_lumberhack_float_out_____, 213648
Power_lh, Module_lumberhack_only_expanded_, 213280
Power_lh, Module_original_________________, 116456
Pretty_lh, Module_lumberhack_______________, 42400
Pretty_lh, Module_lumberhack_float_out_____, 42016
Pretty_lh, Module_lumberhack_only_expanded_, 41560
Pretty_lh, Module_original_________________, 34776
Puzzle_lh, Module_lumberhack_______________, 128584
Puzzle_lh, Module_lumberhack_float_out_____, 126736
Puzzle_lh, Module_lumberhack_only_expanded_, 103856
Puzzle_lh, Module_original_________________, 85248
Rewrite_lh, Module_lumberhack_______________, 230984
Rewrite_lh, Module_lumberhack_float_out_____, 225160
Rewrite_lh, Module_lumberhack_only_expanded_, 234528
Rewrite_lh, Module_original_________________, 196712
Rsa_lh, Module_lumberhack_______________, 22320
Rsa_lh, Module_lumberhack_float_out_____, 16160
Rsa_lh, Module_lumberhack_only_expanded_, 18040
Rsa_lh, Module_original_________________, 16344
Scc_lh, Module_lumberhack_______________, 24040
Scc_lh, Module_lumberhack_float_out_____, 24136
Scc_lh, Module_lumberhack_only_expanded_, 24024
Scc_lh, Module_original_________________, 20048
Secretary_lh, Module_lumberhack_______________, 31064
Secretary_lh, Module_lumberhack_float_out_____, 36752
Secretary_lh, Module_lumberhack_only_expanded_, 30224
Secretary_lh, Module_original_________________, 28504
Sorting_lh, Module_lumberhack_______________, 207488
Sorting_lh, Module_lumberhack_float_out_____, 206032
Sorting_lh, Module_lumberhack_only_expanded_, 195696
Sorting_lh, Module_original_________________, 185136
Sphere_lh, Module_lumberhack_______________, 153064
Sphere_lh, Module_lumberhack_float_out_____, 152592
Sphere_lh, Module_lumberhack_only_expanded_, 101472
Sphere_lh, Module_original_________________, 73432
Treejoin_lh, Module_lumberhack_______________, 76040
Treejoin_lh, Module_lumberhack_float_out_____, 76040
Treejoin_lh, Module_lumberhack_only_expanded_, 30272
Treejoin_lh, Module_original_________________, 16584
