test_name, run_time, unit, n95ci, p95ci, minor, major, promotion
fused_Eliza_lh, 2.32, ms, -0.09, 0.14, 1.83Mw, 16.47kw, 16.47kw
fused_float_out_Eliza_lh, 2.31, ms, -0.1, 0.16, 1.83Mw, 16.43kw, 16.43kw
original_Fish_lh, 425.99, ms, -0.11, 0.15, 194.08Mw, 35.93Mw, 35.93Mw
fused_only_expanded_Fish_lh, 423.44, ms, -0.11, 0.15, 194.08Mw, 35.93Mw, 35.93Mw
fused_Fish_lh, 326.31, ms, -0.15, 0.17, 180.51Mw, 24.51Mw, 24.51Mw
fused_float_out_Fish_lh, 325.15, ms, -0.1, 0.08, 180.51Mw, 24.51Mw, 24.51Mw
original_Gcd_lh, 131.18, ms, -0.27, 0.29, 33.14Mw, 6.05Mw, 6.05Mw
fused_only_expanded_Gcd_lh, 130.94, ms, -0.24, 0.21, 33.14Mw, 6.05Mw, 6.05Mw
fused_Gcd_lh, 119.26, ms, -0.27, 0.4, 32.18Mw, 5.08Mw, 5.08Mw
fused_float_out_Gcd_lh, 89.86, ms, -0.57, 0.62, 25.81Mw, 2.66Mw, 2.66Mw
original_Integer_lh, 173.73, ms, -0.18, 0.15, 21.68Mw, 18.88Mw, 18.88Mw
fused_only_expanded_Integer_lh, 174.41, ms, -0.27, 0.18, 21.68Mw, 18.88Mw, 18.88Mw
fused_Integer_lh, 173.77, ms, -0.18, 0.12, 21.68Mw, 18.88Mw, 18.88Mw
fused_float_out_Integer_lh, 175.27, ms, -0.49, 0.36, 21.68Mw, 18.88Mw, 18.88Mw
original_Knights_lh, 1.31, ms, -0.16, 0.18, 198.00kw, 3.42kw, 3.42kw
fused_only_expanded_Knights_lh, 1.31, ms, -0.16, 0.19, 197.95kw, 3.41kw, 3.41kw
fused_Knights_lh, 1.3, ms, -0.14, 0.18, 199.16kw, 3.43kw, 3.43kw
fused_float_out_Knights_lh, 1.3, ms, -0.16, 0.18, 200.21kw, 3.43kw, 3.43kw
original_LCSS_lh, 141.32, us, -0.13, 0.15, 113.54kw, 572.46w, 572.46w
fused_only_expanded_LCSS_lh, 140.7, us, -0.12, 0.14, 113.54kw, 572.36w, 572.36w
fused_LCSS_lh, 140.35, us, -0.11, 0.12, 113.18kw, 565.73w, 565.73w
fused_float_out_LCSS_lh, 139.97, us, -0.14, 0.15, 112.69kw, 522.90w, 522.90w
original_Lambda_lh, 1049.58, us, -0.09, 0.12, 1.39Mw, 11.60kw, 11.60kw
fused_only_expanded_Lambda_lh, 1045.95, us, -0.07, 0.08, 1.39Mw, 11.60kw, 11.60kw
fused_Lambda_lh, 935.53, us, -0.06, 0.08, 1.09Mw, 9.36kw, 9.36kw
fused_float_out_Lambda_lh, 929.92, us, -0.11, 0.13, 1.09Mw, 9.36kw, 9.36kw
original_LastPiece_lh, 413.19, ms, -0.25, 0.35, 132.17Mw, 14.52Mw, 14.52Mw
fused_only_expanded_LastPiece_lh, 410.33, ms, -0.34, 0.36, 132.17Mw, 14.52Mw, 14.52Mw
fused_LastPiece_lh, 391.68, ms, -0.42, 0.45, 138.43Mw, 14.60Mw, 14.60Mw
fused_float_out_LastPiece_lh, 391.79, ms, -0.26, 0.48, 137.81Mw, 14.60Mw, 14.60Mw
original_Life_lh, 13.19, ms, -0.14, 0.18, 12.74Mw, 1.03Mw, 1.03Mw
fused_only_expanded_Life_lh, 13.11, ms, -0.1, 0.14, 12.74Mw, 1.03Mw, 1.03Mw
fused_Life_lh, 13.41, ms, -0.09, 0.12, 12.75Mw, 1.02Mw, 1.02Mw
fused_float_out_Life_lh, 13.43, ms, -0.22, 0.28, 12.75Mw, 1.02Mw, 1.02Mw
original_Mandel2_lh, 5.23, ms, -0.07, 0.11, 3.37Mw, 35.04kw, 35.04kw
fused_only_expanded_Mandel2_lh, 5.02, ms, -0.05, 0.08, 3.37Mw, 35.05kw, 35.05kw
fused_Mandel2_lh, 4.08, ms, -0.07, 0.09, 3.37Mw, 35.06kw, 35.06kw
fused_float_out_Mandel2_lh, 4.06, ms, -0.05, 0.08, 3.37Mw, 35.06kw, 35.06kw
original_Mandel_lh, 4.23, ms, -0.33, 0.31, 3.39Mw, 168.64kw, 168.64kw
fused_only_expanded_Mandel_lh, 4.21, ms, -0.14, 0.15, 3.39Mw, 168.64kw, 168.64kw
fused_Mandel_lh, 4.11, ms, -2.87, 2.98, 3.32Mw, 156.08kw, 156.08kw
fused_float_out_Mandel_lh, 3.12, ms, -0.06, 0.07, 3.34Mw, 21.52kw, 21.52kw
original_Mate_lh, 829.21, ms, -0.04, 0.04, 288.01Mw, 5.86Mw, 5.86Mw
fused_only_expanded_Mate_lh, 828.83, ms, -0.06, 0.07, 288.01Mw, 5.86Mw, 5.86Mw
fused_Mate_lh, 827.39, ms, -0.05, 0.07, 288.33Mw, 5.87Mw, 5.87Mw
fused_float_out_Mate_lh, 826.93, ms, -0.04, 0.05, 288.33Mw, 5.86Mw, 5.86Mw
original_Minimax_lh, 16.8, ms, -0.15, 0.22, 13.84Mw, 915.39kw, 915.39kw
fused_only_expanded_Minimax_lh, 16.54, ms, -0.37, 0.65, 13.84Mw, 915.47kw, 915.47kw
fused_Minimax_lh, 16.84, ms, -0.1, 0.14, 13.99Mw, 918.17kw, 918.17kw
fused_float_out_Minimax_lh, 16.13, ms, -0.15, 0.15, 12.80Mw, 893.79kw, 893.79kw
original_Para_lh, 91.05, us, -0.06, 0.07, 58.50kw, 981.83w, 981.83w
fused_only_expanded_Para_lh, 91.67, us, -0.33, 0.4, 58.50kw, 982.51w, 982.51w
fused_Para_lh, 90.09, us, -0.22, 0.26, 57.01kw, 912.55w, 912.55w
fused_float_out_Para_lh, 89.91, us, -0.54, 0.99, 56.91kw, 883.77w, 883.77w
original_Power_lh, 767.02, us, -0.13, 0.15, 388.83kw, 50.72kw, 50.72kw
fused_only_expanded_Power_lh, 777.19, us, -0.11, 0.13, 388.87kw, 50.74kw, 50.74kw
fused_Power_lh, 763.68, us, -0.11, 0.15, 388.83kw, 50.73kw, 50.73kw
fused_float_out_Power_lh, 764.33, us, -0.1, 0.14, 388.83kw, 50.73kw, 50.73kw
original_Pretty_lh, 7.5, us, -0.06, 0.06, 10.09kw, 61.48w, 61.48w
fused_only_expanded_Pretty_lh, 7.52, us, -0.08, 0.09, 10.09kw, 61.48w, 61.48w
fused_Pretty_lh, 7.38, us, -0.08, 0.09, 9.45kw, 56.26w, 56.26w
fused_float_out_Pretty_lh, 7.39, us, -0.03, 0.04, 9.46kw, 56.27w, 56.27w
original_Puzzle_lh, 87.11, ms, -0.09, 0.11, 18.32Mw, 1.77Mw, 1.77Mw
fused_only_expanded_Puzzle_lh, 86.44, ms, -0.12, 0.13, 18.32Mw, 1.77Mw, 1.77Mw
fused_Puzzle_lh, 93.91, ms, -0.27, 0.23, 24.12Mw, 1.87Mw, 1.87Mw
fused_float_out_Puzzle_lh, 93.37, ms, -0.1, 0.11, 22.46Mw, 1.82Mw, 1.82Mw
original_Rewrite_lh, 57.01, ms, -0.05, 0.05, 35.65Mw, 467.28kw, 467.28kw
fused_only_expanded_Rewrite_lh, 57.19, ms, -0.03, 0.03, 35.65Mw, 467.28kw, 467.28kw
fused_Rewrite_lh, 57, ms, -0.06, 0.08, 35.79Mw, 469.83kw, 469.83kw
fused_float_out_Rewrite_lh, 57.27, ms, -0.09, 0.14, 35.76Mw, 463.32kw, 463.32kw
original_Rsa_lh, 83.73, ms, -0.15, 0.26, 8.87Mw, 34.07Mw, 413.62kw
fused_only_expanded_Rsa_lh, 85.08, ms, -0.18, 0.24, 8.87Mw, 34.07Mw, 413.62kw
fused_Rsa_lh, 87.76, ms, -0.85, 0.98, 8.84Mw, 34.06Mw, 404.39kw
fused_float_out_Rsa_lh, 85.6, ms, -1.18, 2.03, 8.78Mw, 33.88Mw, 222.88kw
original_Scc_lh, 2.16, us, -0.07, 0.07, 820.00w, 0.36w, 0.36w
fused_only_expanded_Scc_lh, 2.15, us, -0.05, 0.05, 820.03w, 0.36w, 0.36w
fused_Scc_lh, 2.14, us, -0.06, 0.06, 820.03w, 0.36w, 0.36w
fused_float_out_Scc_lh, 2.14, us, -0.05, 0.05, 820.03w, 0.36w, 0.36w
original_Secretary_lh, 5.3, s, -0.5, 0.91, 2.05Gw, 115.45Mw, 115.45Mw
fused_only_expanded_Secretary_lh, 5.25, s, -0.11, 0.1, 2.05Gw, 115.45Mw, 115.45Mw
fused_Secretary_lh, 5.28, s, -0.59, 0.92, 2.05Gw, 114.96Mw, 114.96Mw
fused_float_out_Secretary_lh, 5.23, s, -0.21, 0.2, 2.05Gw, 115.00Mw, 115.00Mw
original_Sorting_lh, 56.25, us, -0.06, 0.07, 42.95kw, 610.41w, 610.41w
fused_only_expanded_Sorting_lh, 54.97, us, -0.07, 0.08, 42.94kw, 610.36w, 610.36w
fused_Sorting_lh, 53.9, us, -0.05, 0.05, 42.83kw, 614.96w, 614.96w
fused_float_out_Sorting_lh, 53.98, us, -0.07, 0.07, 42.67kw, 555.09w, 555.09w
original_Sphere_lh, 715.18, us, -0.11, 0.14, 649.13kw, 14.46kw, 14.46kw
fused_only_expanded_Sphere_lh, 716.6, us, -0.05, 0.05, 649.13kw, 14.46kw, 14.46kw
fused_Sphere_lh, 681.06, us, -0.09, 0.11, 623.70kw, 9.61kw, 9.61kw
fused_float_out_Sphere_lh, 625.55, us, -0.04, 0.03, 627.26kw, 2.46kw, 2.46kw
original_Treejoin_lh, 1.18, ms, -0.12, 0.13, 435.35kw, 45.81kw, 45.81kw
fused_only_expanded_Treejoin_lh, 1.16, ms, -0.16, 0.17, 435.30kw, 45.78kw, 45.78kw
fused_Treejoin_lh, 1.16, ms, -0.12, 0.12, 435.40kw, 45.81kw, 45.81kw
fused_float_out_Treejoin_lh, 1.16, ms, -0.13, 0.12, 435.40kw, 45.81kw, 45.81kw
